Date	Sales	Product
1/2/18	3	Carlota
1/5/18	2	Carlota
1/7/18	25	Carlota
1/15/18	15	Bellen
1/16/18	13	Bellen
1/20/18	13	Quad
1/21/18	18	Quad
1/27/18	13	Carlota
2/3/18	12	Quad
2/4/18	10	Bellen
2/9/18	5	Carlota
2/10/18	9	Bellen
2/11/18	4	Carlota
2/13/18	27	Carlota
2/14/18	4	Bellen
2/15/18	25	Carlota
2/15/18	19	Carlota
2/18/18	15	Bellen
2/19/18	17	Carlota
2/21/18	21	Quad
3/6/18	2	Carlota
3/6/18	20	Carlota
3/10/18	32	Quad
3/14/18	16	Quad
3/20/18	32	Quad
3/21/18	32	Carlota
3/23/18	23	Quad
3/28/18	29	Bellen
3/28/18	3	Carlota
4/2/18	4	Quad
4/3/18	32	Bellen
4/15/18	29	Bellen
4/17/18	5	Bellen
4/17/18	31	Carlota
4/17/18	4	Quad
4/19/18	15	Quad
4/23/18	6	Bellen
4/23/18	31	Bellen
4/27/18	19	Bellen
4/27/18	8	Quad
4/27/18	2	Quad
4/30/18	26	Quad
5/1/18	10	Carlota
5/4/18	23	Bellen
5/4/18	24	Carlota
5/5/18	22	Carlota
5/7/18	28	Bellen
5/8/18	1	Carlota
5/10/18	11	Carlota
5/11/18	9	Carlota
5/18/18	32	Quad
5/20/18	20	Quad
5/25/18	11	Bellen
5/28/18	17	Bellen
6/1/18	21	Carlota
6/4/18	13	Quad
6/6/18	10	Carlota
6/7/18	18	Bellen
6/8/18	5	Bellen
6/10/18	15	Carlota
6/10/18	8	Quad
6/12/18	12	Quad
6/13/18	2	Bellen
6/17/18	32	Quad
6/24/18	33	Bellen
6/24/18	33	Bellen
6/24/18	16	Bellen
6/26/18	1	Carlota
6/28/18	27	Bellen
6/28/18	28	Carlota
7/3/18	9	Quad
7/8/18	5	Carlota
7/10/18	7	Bellen
7/18/18	32	Bellen
7/20/18	20	Bellen
7/21/18	26	Bellen
7/23/18	20	Quad
7/24/18	12	Bellen
7/25/18	27	Bellen
7/29/18	18	Carlota
8/5/18	25	Quad
8/6/18	25	Carlota
8/6/18	15	Quad
8/8/18	7	Carlota
8/8/18	28	Quad
8/11/18	16	Carlota
8/13/18	5	Quad
8/18/18	2	Bellen
8/18/18	17	Bellen
8/24/18	23	Carlota
8/24/18	17	Carlota
8/27/18	4	Carlota
8/30/18	13	Bellen
8/30/18	29	Quad
9/1/18	1	Carlota
9/2/18	9	Carlota
9/2/18	21	Carlota
9/3/18	18	Carlota
9/3/18	29	Quad
9/6/18	33	Carlota
9/7/18	23	Carlota
9/7/18	28	Carlota
9/8/18	5	Bellen
9/13/18	2	Carlota
9/22/18	10	Carlota
9/24/18	5	Bellen
9/28/18	21	Quad
10/1/18	27	Bellen
10/2/18	30	Quad
10/3/18	4	Bellen
10/3/18	3	Carlota
10/5/18	4	Carlota
10/12/18	16	Carlota
10/14/18	23	Quad
10/16/18	13	Bellen
10/18/18	1	Quad
10/20/18	2	Carlota
10/20/18	7	Quad
10/23/18	20	Bellen
10/25/18	13	Carlota
10/31/18	21	Bellen
10/31/18	12	Bellen
10/31/18	12	Quad
11/2/18	31	Carlota
11/5/18	24	Bellen
11/6/18	19	Carlota
11/7/18	23	Bellen
11/9/18	13	Bellen
11/10/18	18	Carlota
11/16/18	15	Quad
11/24/18	26	Bellen
12/3/18	31	Carlota
12/4/18	17	Quad
12/6/18	22	Bellen
12/6/18	14	Carlota
12/10/18	28	Bellen
12/14/18	19	Quad
12/20/18	5	Bellen
12/21/18	8	Bellen
12/21/18	11	Quad
12/24/18	14	Carlota
12/27/18	19	Quad
12/29/18	22	Bellen
12/29/18	25	Quad
